cik,ticker,name,sector,proxy_filings,10k_filings
0000059478,LLY,ELI LILLY & Co,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-03-21', 'accession_number': '0000059478-25-000107', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/59478/000005947825000107/0000059478-25-000107-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-03-22', 'accession_number': '0000059478-24-000099', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/59478/000005947824000099/0000059478-24-000099-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-02-19', 'accession_number': '0000059478-25-000067', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/59478/000005947825000067/0000059478-25-000067-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-02-21', 'accession_number': '0000059478-24-000065', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/59478/000005947824000065/0000059478-24-000065-index.htm'}]"
0000019617,JPM,JPMORGAN CHASE & CO,General Market,[],[]
0001403161,V,VISA INC.,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-12-08', 'accession_number': '0001308179-25-000635', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1403161/000130817925000635/0001308179-25-000635-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-12-09', 'accession_number': '0001308179-24-000807', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1403161/000130817924000807/0001308179-24-000807-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2023-12-07', 'accession_number': '0001193125-23-290295', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1403161/000119312523290295/0001193125-23-290295-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-11-06', 'accession_number': '0001403161-25-000089', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1403161/000140316125000089/0001403161-25-000089-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-11-13', 'accession_number': '0001403161-24-000058', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1403161/000140316124000058/0001403161-24-000058-index.htm'}, {'filing_type': '10-K', 'filing_date': '2023-11-15', 'accession_number': '0001403161-23-000099', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1403161/000140316123000099/0001403161-23-000099-index.htm'}]"
0000884394,SPY,SPDR S&P 500 ETF TRUST,General Market,[],[]
0001341439,ORCL,ORACLE CORP,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-09-26', 'accession_number': '0001193125-25-220801', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1341439/000119312525220801/0001193125-25-220801-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-09-25', 'accession_number': '0001193125-24-226139', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1341439/000119312524226139/0001193125-24-226139-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2023-09-22', 'accession_number': '0001193125-23-240594', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1341439/000119312523240594/0001193125-23-240594-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-06-18', 'accession_number': '0000950170-25-087926', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/0000950170-25-087926-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-06-20', 'accession_number': '0000950170-24-075605', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1341439/000095017024075605/0000950170-24-075605-index.htm'}, {'filing_type': '10-K', 'filing_date': '2023-06-20', 'accession_number': '0000950170-23-028914', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1341439/000095017023028914/0000950170-23-028914-index.htm'}]"
0001141391,MA,Mastercard Inc,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-04-28', 'accession_number': '0001141391-25-000078', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1141391/000114139125000078/0001141391-25-000078-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-04-26', 'accession_number': '0001141391-24-000078', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1141391/000114139124000078/0001141391-24-000078-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2023-04-28', 'accession_number': '0001141391-23-000070', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1141391/000114139123000070/0001141391-23-000070-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-02-12', 'accession_number': '0001141391-25-000011', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1141391/000114139125000011/0001141391-25-000011-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-02-13', 'accession_number': '0001141391-24-000022', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1141391/000114139124000022/0001141391-24-000022-index.htm'}, {'filing_type': '10-K', 'filing_date': '2023-02-14', 'accession_number': '0001141391-23-000020', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1141391/000114139123000020/0001141391-23-000020-index.htm'}]"
0000200406,JNJ,JOHNSON & JOHNSON,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-03-12', 'accession_number': '0000200406-25-000099', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/200406/000020040625000099/0000200406-25-000099-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-03-13', 'accession_number': '0000200406-24-000024', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/200406/000020040624000024/0000200406-24-000024-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-02-13', 'accession_number': '0000200406-25-000038', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/200406/000020040625000038/0000200406-25-000038-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-02-16', 'accession_number': '0000200406-24-000013', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/0000200406-24-000013-index.htm'}]"
0000034088,XOM,EXXON MOBIL CORP,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-04-07', 'accession_number': '0001193125-25-073986', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/34088/000119312525073986/0001193125-25-073986-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-04-11', 'accession_number': '0001193125-24-092545', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/34088/000119312524092545/0001193125-24-092545-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-02-19', 'accession_number': '0000034088-25-000010', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/34088/000003408825000010/0000034088-25-000010-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-02-28', 'accession_number': '0000034088-24-000018', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/34088/000003408824000018/0000034088-24-000018-index.htm'}]"
0001321655,PLTR,Palantir Technologies Inc.,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-04-25', 'accession_number': '0001321655-25-000057', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1321655/000132165525000057/0001321655-25-000057-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-04-26', 'accession_number': '0001321655-24-000059', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1321655/000132165524000059/0001321655-24-000059-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2023-04-26', 'accession_number': '0001321655-23-000033', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1321655/000132165523000033/0001321655-23-000033-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-02-18', 'accession_number': '0001321655-25-000022', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1321655/000132165525000022/0001321655-25-000022-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-02-20', 'accession_number': '0001321655-24-000022', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1321655/000132165524000022/0001321655-24-000022-index.htm'}, {'filing_type': '10-K', 'filing_date': '2023-02-21', 'accession_number': '0001321655-23-000011', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1321655/000132165523000011/0001321655-23-000011-index.htm'}]"
0000937966,ASML,ASML HOLDING NV,General Market,[],[]
0000070858,BAC,BANK OF AMERICA CORP /DE/,General Market,[],[]
0001065280,NFLX,NETFLIX INC,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-04-17', 'accession_number': '0001193125-25-084425', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1065280/000119312525084425/0001193125-25-084425-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-04-18', 'accession_number': '0001193125-24-100913', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1065280/000119312524100913/0001193125-24-100913-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2023-04-21', 'accession_number': '0001193125-23-110513', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1065280/000119312523110513/0001193125-23-110513-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-01-27', 'accession_number': '0001065280-25-000044', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1065280/000106528025000044/0001065280-25-000044-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-01-26', 'accession_number': '0001065280-24-000030', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1065280/000106528024000030/0001065280-24-000030-index.htm'}, {'filing_type': '10-K', 'filing_date': '2023-01-26', 'accession_number': '0001065280-23-000035', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1065280/000106528023000035/0001065280-23-000035-index.htm'}]"
0001551152,ABBV,AbbVie Inc.,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-03-24', 'accession_number': '0001558370-25-003537', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1551152/000155837025003537/0001558370-25-003537-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-03-18', 'accession_number': '0001558370-24-003496', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1551152/000155837024003496/0001558370-24-003496-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2023-03-20', 'accession_number': '0001558370-23-004204', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1551152/000155837023004204/0001558370-23-004204-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-02-14', 'accession_number': '0001551152-25-000020', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1551152/000155115225000020/0001551152-25-000020-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-02-20', 'accession_number': '0001551152-24-000011', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/0001551152-24-000011-index.htm'}, {'filing_type': '10-K', 'filing_date': '2023-02-17', 'accession_number': '0001551152-23-000011', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/1551152/000155115223000011/0001551152-23-000011-index.htm'}]"
0000909832,COST,COSTCO WHOLESALE CORP /NEW,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-12-04', 'accession_number': '0000909832-25-000159', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/909832/000090983225000159/0000909832-25-000159-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-12-11', 'accession_number': '0000909832-24-000072', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/909832/000090983224000072/0000909832-24-000072-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2023-12-07', 'accession_number': '0000909832-23-000058', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/909832/000090983223000058/0000909832-23-000058-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-10-08', 'accession_number': '0000909832-25-000101', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/0000909832-25-000101-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-10-09', 'accession_number': '0000909832-24-000049', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/0000909832-24-000049-index.htm'}, {'filing_type': '10-K', 'filing_date': '2023-10-11', 'accession_number': '0000909832-23-000042', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/0000909832-23-000042-index.htm'}]"
0001577552,BABA,Alibaba Group Holding Ltd,General Market,[],[]
0000354950,HD,"HOME DEPOT, INC.",General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-04-07', 'accession_number': '0000354950-25-000123', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/354950/000035495025000123/0000354950-25-000123-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-04-01', 'accession_number': '0000354950-24-000108', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/354950/000035495024000108/0000354950-24-000108-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2023-04-03', 'accession_number': '0000354950-23-000101', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/354950/000035495023000101/0000354950-23-000101-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-03-21', 'accession_number': '0000354950-25-000085', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/354950/000035495025000085/0000354950-25-000085-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-03-13', 'accession_number': '0000354950-24-000062', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/354950/000035495024000062/0000354950-24-000062-index.htm'}, {'filing_type': '10-K', 'filing_date': '2023-03-15', 'accession_number': '0000354950-23-000059', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/354950/000035495023000059/0000354950-23-000059-index.htm'}]"
0000002488,AMD,ADVANCED MICRO DEVICES INC,Energy and Climate,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-03-28', 'accession_number': '0001193125-25-067170', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/2488/000119312525067170/0001193125-25-067170-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-03-25', 'accession_number': '0001193125-24-076513', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/2488/000119312524076513/0001193125-24-076513-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2023-03-31', 'accession_number': '0001193125-23-088096', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/2488/000119312523088096/0001193125-23-088096-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-02-05', 'accession_number': '0000002488-25-000012', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/2488/000000248825000012/0000002488-25-000012-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-01-31', 'accession_number': '0000002488-24-000012', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/0000002488-24-000012-index.htm'}, {'filing_type': '10-K', 'filing_date': '2023-02-27', 'accession_number': '0000002488-23-000047', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/0000002488-23-000047-index.htm'}]"
0000080424,PG,PROCTER & GAMBLE Co,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-08-29', 'accession_number': '0001193125-25-191749', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/80424/000119312525191749/0001193125-25-191749-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-08-23', 'accession_number': '0001193125-24-205691', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/80424/000119312524205691/0001193125-24-205691-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-08-04', 'accession_number': '0000080424-25-000076', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/80424/000008042425000076/0000080424-25-000076-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-08-05', 'accession_number': '0000080424-24-000083', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/80424/000008042424000083/0000080424-24-000083-index.htm'}]"
0000040545,GE,GENERAL ELECTRIC CO,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-03-13', 'accession_number': '0001308179-25-000114', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/40545/000130817925000114/0001308179-25-000114-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-03-14', 'accession_number': '0001308179-24-000139', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/40545/000130817924000139/0001308179-24-000139-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-02-03', 'accession_number': '0000040545-25-000015', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/40545/000004054525000015/0000040545-25-000015-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-02-02', 'accession_number': '0000040545-24-000027', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/40545/000004054524000027/0000040545-24-000027-index.htm'}]"
0000731766,UNH,UNITEDHEALTH GROUP INC,General Market,"[{'filing_type': 'DEF 14A', 'filing_date': '2025-04-21', 'accession_number': '0001104659-25-036829', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/731766/000110465925036829/0001104659-25-036829-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2024-04-22', 'accession_number': '0001104659-24-050055', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/731766/000110465924050055/0001104659-24-050055-index.htm'}, {'filing_type': 'DEF 14A', 'filing_date': '2023-04-21', 'accession_number': '0001104659-23-048439', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/731766/000110465923048439/0001104659-23-048439-index.htm'}]","[{'filing_type': '10-K', 'filing_date': '2025-02-27', 'accession_number': '0000731766-25-000063', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/731766/000073176625000063/0000731766-25-000063-index.htm'}, {'filing_type': '10-K', 'filing_date': '2024-02-28', 'accession_number': '0000731766-24-000081', 'filing_url': 'https://www.sec.gov/Archives/edgar/data/731766/000073176624000081/0000731766-24-000081-index.htm'}]"
